Hex,timestamp,Total_rentals,Own_rentals_post_reloc,Own_rentals_base_pre_reloc,Own_rentals_delta,Lost_market_demand_pre,Lost_market_demand_post,Own_rentals_cum_delta,Own_relocs_cum_delta
861f1d48fffffff,2017-03-13T00:00:00.0,189,87,87,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T00:00:00.0,158,64,64,0,0,0,0,0
861f1d49fffffff,2017-03-13T00:00:00.0,125,65,65,0,0,0,0,-1
861f18b27ffffff,2017-03-13T00:00:00.0,132,71,71,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T00:00:00.0,90,36,36,0,0,0,0,0
861f1d487ffffff,2017-03-13T00:00:00.0,52,27,27,0,0,0,0,0
861f1d4afffffff,2017-03-13T00:00:00.0,47,24,24,0,0,0,0,0
861f18b37ffffff,2017-03-13T00:00:00.0,37,14,14,0,0,0,0,0
861f18b2fffffff,2017-03-13T00:00:00.0,18,12,12,0,0,0,0,0
861f1886fffffff,2017-03-13T00:00:00.0,5,0,0,0,0,0,0,1
861f1d4b7ffffff,2017-03-13T00:00:00.0,17,16,16,0,0,0,0,0
861f18b0fffffff,2017-03-13T00:00:00.0,3,1,1,0,0,0,0,0
861f1d4dfffffff,2017-03-13T00:00:00.0,5,0,0,0,0,0,0,0
861f1d48fffffff,2017-03-13T06:00:00.0,1109,537,537,0,0,0,0,0
861f1d4d7ffffff,2017-03-13T06:00:00.0,789,334,334,0,0,0,0,0
861f1d49fffffff,2017-03-13T06:00:00.0,640,321,327,-6,0,0,-6,-15
861f18b27ffffff,2017-03-13T06:00:00.0,467,239,239,0,0,0,0,0
861f1d4f7ffffff,2017-03-13T06:00:00.0,311,125,125,0,0,0,0,0
861f1d487ffffff,2017-03-13T06:00:00.0,203,95,87,8,0,0,8,20
861f1d4afffffff,2017-03-13T06:00:00.0,151,85,85,0,0,0,0,0
861f18b37ffffff,2017-03-13T06:00:00.0,102,47,47,0,0,0,0,0
861f18b2fffffff,2017-03-13T06:00:00.0,51,34,34,0,0,0,0,0
861f1886fffffff,2017-03-13T06:00:00.0,49,11,3,8,0,0,8,15
861f1d4b7ffffff,2017-03-13T06:00:00.0,35,32,33,-1,0,0,-1,-20
861f18b0fffffff,2017-03-13T06:00:00.0,10,5,5,0,0,0,0,0
861f1d4dfffffff,2017-03-13T06:00:00.0,18,1,1,0,0,0,0,0
861f1d48fffffff,2017-03-13T12:00:00.0,1674,861,858,3,0,0,3,0
861f1d4d7ffffff,2017-03-13T12:00:00.0,780,309,307,2,0,0,2,0
861f1d49fffffff,2017-03-13T12:00:00.0,848,427,426,1,0,0,-5,-15
